"act_name","section_name","section_id"
"The Indian Penal Code","The Indian Penal Code",1569253
"The Indian Penal Code","Section 1 in The Indian Penal Code",1873250
"The Indian Penal Code","Section 2 in The Indian Penal Code",915147
"The Indian Penal Code","Section 3 in The Indian Penal Code",1507082
"The Indian Penal Code","Section 4(1) in The Indian Penal Code",1609585
"The Indian Penal Code","Section 4(2) in The Indian Penal Code",210986
"The Indian Penal Code","Section 4(3) in The Indian Penal Code",184142758
"The Indian Penal Code","Section 4(3)(a) in The Indian Penal Code",63940315
"The Indian Penal Code","Section 4(3)(b) in The Indian Penal Code",150275472
"The Indian Penal Code","Section 5 in The Indian Penal Code",1227639
"The Indian Penal Code","Section 6 in The Indian Penal Code",1633827
"The Indian Penal Code","Section 6(a) in The Indian Penal Code",1632734
"The Indian Penal Code","Section 6(b) in The Indian Penal Code",235596
"The Indian Penal Code","Section 7 in The Indian Penal Code",1597655
"The Indian Penal Code","Section 8 in The Indian Penal Code",1738671
"The Indian Penal Code","Section 9 in The Indian Penal Code",1977541
"The Indian Penal Code","Section 10 in The Indian Penal Code",1980183
"The Indian Penal Code","Section 11 in The Indian Penal Code",668722
"The Indian Penal Code","Section 12 in The Indian Penal Code",1066594
"The Indian Penal Code","Section 13 in The Indian Penal Code",86648814
"The Indian Penal Code","Section 14 in The Indian Penal Code",1087156
"The Indian Penal Code","Section 15 in The Indian Penal Code",178237634
"The Indian Penal Code","Section 16 in The Indian Penal Code",197248120
"The Indian Penal Code","Section 17 in The Indian Penal Code",44781517
"The Indian Penal Code","Section 18 in The Indian Penal Code",1638420
"The Indian Penal Code","Section 19 in The Indian Penal Code",1807029
"The Indian Penal Code","Section 19(a) in The Indian Penal Code",934102
"The Indian Penal Code","Section 19(b) in The Indian Penal Code",1277561
"The Indian Penal Code","Section 19(c) in The Indian Penal Code",1748633
"The Indian Penal Code","Section 19(d) in The Indian Penal Code",1754152
"The Indian Penal Code","Section 20 in The Indian Penal Code",1666329
"The Indian Penal Code","Section 21 in The Indian Penal Code",1052367
"The Indian Penal Code","Section 21(Second) in The Indian Penal Code",173018002
"The Indian Penal Code","Section 21(Third) in The Indian Penal Code",85211723
"The Indian Penal Code","Section 21(Fourth) in The Indian Penal Code",2451848
"The Indian Penal Code","Section 21(Fifth) in The Indian Penal Code",73765099
"The Indian Penal Code","Section 21(Sixth) in The Indian Penal Code",18139305
"The Indian Penal Code","Section 21(Seventh) in The Indian Penal Code",76788054
"The Indian Penal Code","Section 21(Eighth) in The Indian Penal Code",41192048
"The Indian Penal Code","Section 21(Ninth) in The Indian Penal Code",146041163
"The Indian Penal Code","Section 21(Tenth) in The Indian Penal Code",79688252
"The Indian Penal Code","Section 21(Eleventh) in The Indian Penal Code",141635330
"The Indian Penal Code","Section 21(Twelfth) in The Indian Penal Code",109485496
"The Indian Penal Code","Section 21(Twelfth)(a) in The Indian Penal Code",28172280
"The Indian Penal Code","Section 21(Twelfth)(b) in The Indian Penal Code",125556856
"The Indian Penal Code","Section 21(Rajasthan) in The Indian Penal Code",194034146
"The Indian Penal Code","Section 21(Rajasthan)(a) in The Indian Penal Code",82082490
"The Indian Penal Code","Section 21(Rajasthan)(b) in The Indian Penal Code",7071870
"The Indian Penal Code","Section 22 in The Indian Penal Code",1439341
"The Indian Penal Code","Section 23 in The Indian Penal Code",519920
"The Indian Penal Code","Section 24 in The Indian Penal Code",898393
"The Indian Penal Code","Section 25 in The Indian Penal Code",1961417
"The Indian Penal Code","Section 26 in The Indian Penal Code",1475631
"The Indian Penal Code","Section 27 in The Indian Penal Code",412448
"The Indian Penal Code","Section 28 in The Indian Penal Code",1133131
"The Indian Penal Code","Section 29 in The Indian Penal Code",1580204
"The Indian Penal Code","Section 29A in The Indian Penal Code",98853717
"The Indian Penal Code","Section 29A(1) in The Indian Penal Code",167454609
"The Indian Penal Code","Section 30 in The Indian Penal Code",1320984
"The Indian Penal Code","Section 31 in The Indian Penal Code",1495541
"The Indian Penal Code","Section 32 in The Indian Penal Code",1498946
"The Indian Penal Code","Section 33 in The Indian Penal Code",1235517
"The Indian Penal Code","Section 34 in The Indian Penal Code",37788
"The Indian Penal Code","Section 35 in The Indian Penal Code",177872
"The Indian Penal Code","Section 36 in The Indian Penal Code",615115
"The Indian Penal Code","Section 37 in The Indian Penal Code",1201044
"The Indian Penal Code","Section 37(a) in The Indian Penal Code",1142251
"The Indian Penal Code","Section 37(b) in The Indian Penal Code",222372
"The Indian Penal Code","Section 37(c) in The Indian Penal Code",958116
"The Indian Penal Code","Section 38 in The Indian Penal Code",1138600
"The Indian Penal Code","Section 39 in The Indian Penal Code",1284765
"The Indian Penal Code","Section 41 in The Indian Penal Code",170198
"The Indian Penal Code","Section 42 in The Indian Penal Code",1083970
"The Indian Penal Code","Section 43 in The Indian Penal Code",704346
"The Indian Penal Code","Section 44 in The Indian Penal Code",1106981
"The Indian Penal Code","Section 45 in The Indian Penal Code",71684
"The Indian Penal Code","Section 46 in The Indian Penal Code",1474653
"The Indian Penal Code","Section 47 in The Indian Penal Code",1490617
"The Indian Penal Code","Section 48 in The Indian Penal Code",1429988
"The Indian Penal Code","Section 49 in The Indian Penal Code",201639
"The Indian Penal Code","Section 50 in The Indian Penal Code",1778852
"The Indian Penal Code","Section 51 in The Indian Penal Code",773857
"The Indian Penal Code","Section 52 in The Indian Penal Code",1180351
"The Indian Penal Code","Section 52A in The Indian Penal Code",328157
"The Indian Penal Code","Section 53 in The Indian Penal Code",543586
"The Indian Penal Code","Section 53(First) in The Indian Penal Code",163692843
"The Indian Penal Code","Section 53(Fourthly) in The Indian Penal Code",190148979
"The Indian Penal Code","Section 53(Fourthly)(1) in The Indian Penal Code",54041865
"The Indian Penal Code","Section 53(Fourthly)(2) in The Indian Penal Code",38505867
"The Indian Penal Code","Section 53(Fifthly) in The Indian Penal Code",86344884
"The Indian Penal Code","Section 53(Sixthly) in The Indian Penal Code",64079424
"The Indian Penal Code","Section 53A in The Indian Penal Code",492462
"The Indian Penal Code","Section 53A(1) in The Indian Penal Code",244327
"The Indian Penal Code","Section 53A(2) in The Indian Penal Code",1106243
